title,url,metadata,content,section
Vegetarian Cookout Ideas,https://www.eatright.org/food/food-preparation/cooking-tips/vegetarian-cookout-ideas,"Contributors:Sarah Klemm, RDN, CD, LDN
Published:July 23, 2020
Reviewed:June 13, 2023","The beginning of summer brings the unofficial start of grilling season. For some vegetarians and vegans, however, this means making do at backyard picnics with the same old appetizers or soggy green salads. But barbecues don't have to be a washout for those who don't eat meat.

Classic cookout foods can easily be transformed into delicious vegetarian or vegan fare.

Main Dishes

When hosting, be sure to offer some sort of plant-based protein, which can be as simple as achilled bean salad! You'll also find meat-free burgers and hot dogs in most grocery stores. Or, if you're feeling adventurous, make your ownhomemade burgers out of beans, rice, grains or tofu. If you're makingchilifor meat eaters, simply make another batch without the meat; add extra beans and veggies to thicken.

Side Dishes

Frompasta saladandquinoa saladtopickled veggiesandpico de gallo, there are lots of plant-based options to serve at your cookout.

Grilled vegetables are satisfying no matter your eating pattern! Marinated and grilled portobello mushroom caps are tasty and offer a savory flavor that can be appealing to vegetarians and non-vegetarians alike. Or skewer mushrooms, peppers, squash and tomatoes, then grill them until slightly charred.

Deviled eggs, potato salad and macaroni salads are possible food choices for lacto-ovo vegetarians, and can be modified for vegans by altering some of these recipes by substituting certain ingredients with dairy- and egg-free products. Try a vinegar-based dressing for  broccoli orgreen bean salad. Or make asimple chopped saladusing canned chickpeas, tomatoes, cucumber and bell peppers.

For a more nutritious chip option, offer guests homemade kale orcollard chips. Another traditional favorite  is grilled corn on the cob.

Desserts

You can't go wrong with fresh seasonal fruit such as watermelon slices and an assortment of berries. If you're looking for something more indulgent, soy, almond, cashew and coconut milk-based ice creams command more shelf space in today's frozen food aisle, and for good reason — they taste absolutely delicious! And if you want to join in for some s'mores around the campfire, gelatin-free marshmallows guarantee your place. Grilling? Try peaches, mangoes, pineapples, bananas and other fruit. The heat caramelizes their natural sweetness.

On the Road

New vegetarians and vegans often find it difficult to ask hosts about food — what will be served and how it will be prepared. Most hosts, however, want their guests to enjoy themselves, so let them know you follow a vegetarian or vegan diet. You may be pleasantly surprised with their response. Some hosts will even go so far as to prepare dishes that are vegetarian- or vegan-friendly or at least won't mind if you bring your own food.

If most dishes include meat, dairy, eggs or cheese, offer to bring food to share with the crowd so you won't go hungry. As a courtesy, let the host know, as there may already be a crowded refrigerator or limited oven space, in which case, you can bring your own cooler or decide on a different recipe.

You'll also want to follow good food safety practices. Bacteria grow rapidly between 40 and 140 degrees Fahrenheit, and vegetarians and vegans aren't immune from food poisoning. Keep perishable foods in the refrigerator until you're ready to leave, and then keep cold foods chilled in an ice-filled cooler or by packing with frozen gel packs. If you’re bringing foods that are already hot, transport them in a thermal container to help them retain their heat. These foods should be reheated to a minimum internal temperature of 165 degrees Fahrenheit once you arrive.

Bacteria multiply at room temperature. Keep foods like eggs and dairy products chilled on ice while serving to help maintain their proper temperature. Otherwise, any perishable foods that are left out at room temperature for more than two hours (or just one hour if the temperature is over 90 degrees Fahrenheit) will need to be discarded. The same goes for cut fresh fruits and vegetables, as well as cooked food.

If refrigeration is unavailable to you or it will be difficult keeping foods cold, consider packing non-perishable foods that don't need refrigeration such as whole fruits and vegetables (wash before eating), chips, bread, crackers, nuts, peanut butter and condiments.",food-preparation
Produce from Purchase to Plate — Steps to Reduce Food Waste,https://www.eatright.org/food/planning/food-security-and-sustainability/produce-from-purchase-to-plate-steps-to-reduce-food-waste,"Contributors:Jackie Newgent, RDN, CDNReviewers:Academy Staff RDNsPublished:September 17, 2020Reviewed:March 13, 2025
Reviewers:Academy Staff RDNsPublished:September 17, 2020Reviewed:March 13, 2025
Published:September 17, 2020Reviewed:March 13, 2025
Reviewed:March 13, 2025","In 2024, the United States Department of Agriculture (USDA), the Food and Drug Administration (FDA) and the Environmental Protection Agency (EPA) released a joint paper on strategies for reducing wasted food in America. They estimated that an average family of four spends about $1,500 on food each year that goes uneaten.

Why Does This Matter?

According to the USDA’sThrifty Food Planin 2021, a family of four may spend around $835 a month on groceries. This puts the cost of food waste at nearly the same amount as two months of food.

While there are many areas of food waste that are out of consumers' control, including food lost during production, processing and at market, we can be conscientious and take proper care of vegetables and fruits after they’re brought home. By doing so, we can save money, have a greater ability to feed people who are hungry and play a positive role in the reduction of food waste, which means a reduction in landfill use and the corresponding methane emissions.

Four Steps to Reduce Waste

1. Select Fruits and Vegetables Wisely.

Buy just what you need. Beware of bulk discounts, especially on fresh produce, since it has a limited shelf life.

Purchase fresh produce toward the end of shopping trips so cold foods stay cold longer.

Shop farmers markets early because the heat of the day can alter quality or hasten ripening.

Don't hunt for perfect. Embrace produce imperfections but steer clear of vegetables or fruits that are overly bruised or damaged.

2. Store Produce Properly.

Store any perishable fresh produce, such as berries and leafy greens, in a clean refrigerator set to 40°F or below. If produce is refrigerated at a grocery store, it generally should be refrigerated at home to maintain quality.

Some fruits produce a large amount of ethylene gas during ripening, which can ripen other produce when stored together. Produce that releases this gas include avocados, unripe bananas, nectarines, peaches, tomatoes, apples, apricots, cantaloupe, figs, kiwis and plums. In the refrigerator, store these fruits in a no-vegetables-allowed crisper drawer and away from fruit that doesn't need to be quickly ripened. Some vegetables also can leave distinctive odors that fruits absorb, affecting overall quality.

After a fruit or vegetable ripens, it can be refrigerated. However, cold temperatures can cause flavor and moisture changes in some produce.

Some produce has a short lifespan once ripened. Plan to use fruits such as apricots and berries and vegetables such as herbs, cucumbers, eggplant, green beans, leafy greens and mushrooms within a couple days of purchase.

Fresh produce with a longer shelf life can wait to be consumed until after most of the other fruits and vegetables have been used. This includes apples, pears, beets, carrots, garlic, onions, potatoes and winter squash. Eating foods with a short shelf life first can be helpful in reducing food waste.

Consider using bags or storage containers designed for produce to help prevent spoilage of other foods. However, don't store fresh produce in regular, air-tight plastic storage bags or containers as this can start the decaying process and promotes bacterial and mold growth.

3. Prepare Fruits and Vegetables Cleverly.

Rinse or scrub and use the entire fruit or vegetable when possible, including all edible skins and seeds. Just cut away any bruises and blemishes.

Have a plan, then prepare only what you need. Make half portions or develop a plan for using leftovers to help reduce excess food that might go to waste.

If you're unable to enjoy all of the fresh produce you have on hand, make your own frozen food. Cut fruit and blanch vegetables before placing in air-tight containers for freezing. Blanching vegetables before freezing helps to slow down the spoiling process and preserve the color and texture of these foods.

Be playful when produce is at the end of its edible life. Puree fruits into smoothies or vegetables into a hummus. Mash fruit to create fresh jam or pancake topping. Finely dice fruit to make a salsa. Sauté cut-up vegetables and toss with pasta or sprinkle atop cheese pizza. Roast vegetables and stuff into a burrito or sandwich wrap.

4. Compost the Scraps.

Composting can help put food scraps to use and reduce methane emissions in landfills. Fruits, vegetables, coffee and tea all are good materials for compost.

By taking care of produce from purchase to plate, you can make a noticeable difference in the amount of food wasted in your home!",planning
Build a Healthy Salad,https://www.eatright.org/food/food-preparation/cooking-tips/build-a-healthy-salad,"Contributors:Esther Ellis, MS, RDN, LDN
Reviewers:Academy Staff RDNs
Published:May 24, 2022
Reviewed:February 19, 2024","What you sprinkle over your greens, as well as the amount, can make or break a salad. Here, we give you the scoop on a few unexpected toppings that will boost the flavor and nutrient content of your salad. Using small amounts and different combinations of ingredients can help add variety to salads.

Salads in Bloom

Your salad has greens, veggies, even fruits — so why not go further into the garden and add flowers too? Edible flowers, which include marigolds, violets, roses, nasturtiums, chive blossoms and pansies, can add color and flavor to salad. Just be sure to use flowers that are labeled as edible, like the ones you can find in the produce section at the grocery store. Other blooms, which are sold at nurseries and florists, may be toxic or grown with dangerous pesticides. Kitchen herb gardens also work well as a way to produce both flowers and plants for edible purposes.

Parsley, Sage, Rosemary and Thyme

Herbs, whether fresh or dried, are another way to add flavor to salads. Many supermarkets offer fresh herbs already packaged or as plants. Both fresh and dried herbs can be sprinkled on top as garnishes or used to make flavorful vinaigrettes or salad dressings. Try experimenting with different combinations, but start small and build flavor. If a recipe calls for dried herbs and you want to substitute with fresh, remember that 1 teaspoon of dried is equal to 1 tablespoon (3 teaspoons) of fresh snipped herbs.

Going Green

Avocados not only taste great, but also are a good source of heart-healthy monounsaturated fat and contain several vitamins and minerals, including vitamin E and potassium. They also provide dietary fiber, which most Americans don’t get enough of. Avocados are very versatile, too. For example, they can be chopped up and added as a salad ingredient or pureed into a dressing. It’s best to prepare them right before serving, because once an avocado is sliced, it will start to discolor. A little squeeze of lemon or lime juice can help prevent it from browning.

Texture You Can Sink Your Teeth Into

Nuts and seeds not only add interesting flavors to foods, but the crunch they provide can be just what a salad needs sometimes. Sprinkle on small amounts of nuts and seeds, such as walnuts, pecans, sunflower seeds, pumpkin seeds or even pine nuts. They provide unique flavors and textures when used as salad toppings.

Another ingredient that can make a salad more satisfying are beans. There are so many varieties to experiment with, but more common types used in salads include black beans, chickpeas (also known as garbanzo beans) and edamame. Cooked beans — whether they are purchased frozen, dried or canned — are all good options and a convenient way to get a plant-based source of lean protein.

Croutons typically get a bad rap, but if you make your own and use whole-grain breads, they can help you meet your daily goal for dietary fiber. Another option is to serve a scoop of cooked whole grains, such as quinoa or bulgur, over a mixture of salad greens. It's a great way to get the best of both food groups at one meal.

Looking for ways to get more calcium and vitamin D in your diet? A sprinkle of shredded cheese, such as mozzarella or Parmesan, or crumbled feta can add a lot of flavor with just a small amount. Plus, they are good sources of calcium. Eggs provide vitamin D and when hard boiled, make a great topping for salads.

A Touch of Sweetness

We all know that berries, apples, oranges and pears taste great on their own, but paired with salad greens, the combination of flavors can be extraordinary. Dried fruits, including cherries, cranberries, apricots or raisins, can liven up a salad and may be more convenient to use at certain times of the year. Plus, their flavor has been concentrated, so a smaller amount of dried fruit will provide the same intense flavor as its fresh, whole form.

Dressing It Up

Go for oil-based dressings, like vinaigrettes, more often than those made with ingredients such as mayonnaise. Oils, which are considered a healthier form of fat, are needed on a regular basis but only in small amounts. They provide important nutrients and help with the absorption of others, including vitamins A, D, E and K. Fats also help promote a feeling of fullness.

Variety is Key

Try experimenting with different recipes and an assortment of different colored vegetables to keep the salad combinations exciting and healthful. Being mindful of portions and choosing ingredients that pack a lot of flavor and texture in small amounts will also help. Plus, it will prevent your taste buds from becoming bored.",food-preparation
Keeping Your Lunch Safe,https://www.eatright.org/food/home-food-safety/safe-food-storage/keeping-your-lunch-safe,"Contributors:Sarah Klemm, RDN, CD, LDN
Reviewers:Academy Staff RDNs
Published:March 07, 2019
Reviewed:April 22, 2024","We've all been guilty at one time or another of putting a frozen meal in our work bag or a sandwich in our backpack in the morning and forgetting about it until lunchtime.However, lunches containing perishable foods should never be left out of refrigeration for more than two hours, (one hour if the temperature is above 90 degrees Fahrenheit). Reduce your risk of food poisoning with these tips to keep food safe as it travels from the kitchen to the school cafeteria or office.

The one- to two-hour countdown starts the minute you make lunch, not when you get to school or the office.

Invest in an insulated lunch box for every member of the family and don't forget to wash the lunch boxes on a daily basis.

Find out if your children have access to a refrigerator at school, and instruct them to put lunches in the refrigerator as soon as they get to school. Take your own advice and put your lunch in the refrigerator or freezer as soon as you arrive at work.

Always include a frozen icepack (even in an insulated lunch box) to keep perishable foods cold until lunchtime. You also can freeze an individual juice box or bottle of water to serve as an ice pack. By lunchtime, the juice or water should be thawed and ready to drink and foods should still be cold.

If refrigeration is unavailable at your child's school or if you tend to forget to put your lunch in the refrigerator or freezer when you get to the office, pack shelf-stable foods such as trail mix, cereal, granola bars, bagels, nuts and seeds, carrot and celery sticks, cherry tomatoes, whole fruit, dried fruit, single-serve applesauce and whole-grain crackers.

About to cook that frozen meal you left on your desk all morning? Stop! Frozen meals are not meant to be defrosted before cooking.

It's not just about keeping cold foods cold — keeping hot foods hot is just as important. Fill an insulated bottle with boiling water to preheat the container before storing foods such as soup, chili or stew. These items also can be packed and stored cold, then reheated when you’re ready to eat.

Don't keep lunch leftovers for an afternoon snack, unless they are put back in the refrigerator within two hours, and tell your kids to always throw away perishable foods right after lunch.",home-food-safety
How Clean Is Your Refrigerator?,https://www.eatright.org/food/home-food-safety/cleaning-tips/how-clean-is-your-refrigerator,"Contributors:Esther Ellis, MS, RDN, LDN
Reviewers:Academy Staff RDNs
Published:February 10, 2017
Reviewed:March 16, 2023","Mold, bacteria and spills in the refrigerator can put you at risk for food poisoning. Maintaining a clean refrigerator can help improve the safety and quality of your foods. For the best cleaning results, always refer to the owner's manual of your refrigerator, but a few simple refrigerator cleaning tips work in most situations:

Refrigerator Cleaning

Wipe up spills immediately, especially juices from raw meat, chicken or fish. Defrosting meats on the bottom shelf in a covered container reduces the chance of a spill and cross-contamination.

Scrub down the inside of your refrigerator (including shelves and drawers) using a clean sponge and warm soapy water. Rinse with clean water, then dry with paper towels or a clean cloth. Avoid using cleaners that may pass on flavors to food or cause damage to surfaces.

Frequently clean the refrigerator handle. That is the part of the fridge that gets touched countless times a day.

Keep the front grill clear of dust to allow free airflow to the condenser for best cooling and efficiency. Also, clean the condenser coils with a brush or vacuum. Unplug the refrigerator when cleaning the coils.

What's In the Refrigerator?

Sort through foods at least once a week, throwing out foods that have been ""hibernating"" and are expired or no longer suitable for eating. Consider labeling foods with the dates they were made to keep track of their freshness. Leftovers usually last three to four days in the refrigerator, whereas fresh fish, poultry and ground beef are best consumed within one to two days of purchase, and whole cuts of fresh beef, such as steaks, are best consumed within the first five days of purchase.

Except for infant formulas, product dates are not expiration dates. They indicate when a product should be used for best quality. The terms ""sell by,"" ""best by"" and ""use by,"" may give you a reference for how long a food might last. However, if you aren't sure how old something is or if it's safe to eat, remember — when in doubt, throw it out.",home-food-safety
What is a Sustainable Food System?,https://www.eatright.org/food/planning/food-security-and-sustainability/what-is-a-sustainable-food-system,"Contributors:Marissa Thiry, MS, RDPublished:February 24, 2023
Published:February 24, 2023","The effects of climate change impact the health of both people and the environment. To minimize the impact and feed a growing population, which is estimated to reach 9.7 billion by 2050, food systems are incorporating more sustainable practices including reducing food waste and conserving resources.

Sustainable food systems

A “food system” is a broad term that describes anything involved in the production, distribution and consumption of food. This includes growing, raising, harvesting, processing, distributing, ensuring food safety, eating and even discarding of food. It also includes the connection of these processes and the people and resources that contribute to and are impacted by the food system.

The sustainability of a food system impacts everyone. Food systems shape what foods are available for people to eat, how easy they are to get and how much they cost.

A “sustainable food system” provides nutrition and food security for everyone without compromising the well-being of people or the planet now and in the future. While the topic of sustainability grows and the definition evolves, most experts agree that sustainable food systems address three key factors: economic, environmental and social.

The key factors of a sustainable food system impact us in different ways. The economic, or financial, goal of a sustainable food system is to benefit everyone involved in the system. This includes providing livable wages for food system employees, tax profits for governments, profits for the businesses involved in the food system and safe, nutritious, affordable and available food for all.

The social aspect of a sustainable food system involves fairness and equity for all participants, including vulnerable and underrepresented groups. This means promoting good health among workers, respecting cultural traditions, providing a safe work environment and animal well-being.

The environmental goal of a sustainable food system is to achieve a neutral or positive effect on the natural environment. This includes retaining biodiversity (which refers to the variety of species in our food supply and environment), limiting water use, prioritizing the health of animals and plants, minimizing food loss and waste and cutting down the amount of carbon in the atmosphere that contributes to climate change.

Balancing all factors

When developing sustainable food systems, economic, social and environmental impacts must be considered — as well as potential unintended outcomes. For example, improvements in technology may increase profits for investors (an economic benefit) and efficiencies in production but may result in job loss for farm workers. Alternatively, implementing new animal well-being practices at a farm would have social and environmental benefits but may require additional costs or labor, which impacts the economic aspect of the food system.

How you can help

Developing sustainable food systems requires action from all people involved. While individual efforts like recycling and reducing food waste are important, fundamental changes to the way food is produced, distributed and eaten, as well as changes to policies and infrastructure, also are needed to make lasting change.

Here are two ways you can help:

Education. Learn about recycling programs and other opportunities to conserve resources in your community. If applicable, advocate for sustainability at your workplace by sharing your knowledge with others and proposing impactful changes such as placing recycling and composting bins in cafeterias and break areas.

Action. Taking steps to reduce food waste, such as meal planning before grocery shopping, embracing leftovers and composting are great ways to do your part in your own kitchen. Consider supporting and purchasing from food brands that incorporate sustainable practices into their production and distribution. Most companies have this information available on their website.

Together, individual actions in addition to large-scale changes at the local, state, federal and global levels can create a sustainable food system.",planning
Keep Foods Fresh After Opening,https://www.eatright.org/food/home-food-safety/safe-food-storage/keep-foods-fresh-after-opening,"Contributors:Karen Ansel, MS, RDN, CDNReviewers:Academy Staff RDNsPublished:April 12, 2019Reviewed:May 17, 2024
Reviewers:Academy Staff RDNsPublished:April 12, 2019Reviewed:May 17, 2024
Published:April 12, 2019Reviewed:May 17, 2024
Reviewed:May 17, 2024","When you're shopping for food,sell-by and use-by datescan provide helpful clues about freshness. But after you bring food home and open it, moisture, light and air can change its flavors and cause food to spoil even more quickly. Here's how to keep some of your favorite foods their freshest and tasting their very best.

Canned Tuna or Salmon

Will stay fresh after opening forthree to four days in the refrigerator.Transfer opened canned fish to a sealed glass container or plastic bag.

Peanut and Other Nut Butters

Will stay fresh after opening fortwo to three months in the pantry or three to four months in the refrigerator.

If you've been wondering if you should store your peanut butter in the pantry or the fridge, you'll be glad to know either method works — unless it is a “natural” nut butter (with no added sugars or oils), in which case it should be refrigerated to help prevent separation.

Packaged Deli Meats

Will stay fresh after opening forthree to five days in the refrigerator.If you don't use unopened packages of deli meats within two weeks, you can store them in your freezer for one to two months. This works for hot dogs, too.

Dry Cereal

Will stay fresh after opening fortwo to three months in the pantry.To help your cereal stay crunchy and tasty, fold down the package liner after opening the box.

Ground Coffee

Will stay fresh after opening forthree to five weeks in the pantry or one to two years in the freezer.Moisture can cause coffee to develop off flavors. Transfer ground coffee to an airtight glass or plastic container to prevent it from becoming stale. For best quality, store it in a dark place at room temperature. If you decide to freeze coffee, make sure the container is airtight to keep out moisture.

Liquid Egg Substitute

Will stay fresh after opening forthree days in the refrigerator.As long as the package hasn't been opened, you can freeze liquid egg substitute for an entire year.

Spaghetti Sauce

Will stay fresh after opening forfour days in the refrigerator.Even though unopened, jarred spaghetti sauce has a shelf life of 18 months. It stays fresh for only a few days after opening, so buy it in small jars and use it quickly.

Olive Oil

Will stay fresh after opening forthree to five months in the pantry.

Olive oil tastes best at temperatures between 65°F and 75°F. Because light and air can cause it to deteriorate, keep it tightly sealed in a dark location.

Vanilla Extract

Will stay fresh after opening forone year in the pantry.Vanilla's delicate oils break down easily, so keep it tightly closed for maximum flavor.",home-food-safety
Frozen Precooked Meats,https://www.eatright.org/food/home-food-safety/safe-cooking-and-prep/frozen-precooked-meats,"Contributors:Esther Ellis, MS, RDN, LDNPublished:February 28, 2020Reviewed:January 22, 2020
Published:February 28, 2020Reviewed:January 22, 2020
Reviewed:January 22, 2020","To ensure proper handling, storage and preparation of frozen precooked meats, follow these tips:

Buying

Select your frozen meats after shopping for non-perishables

Make sure the packaging is tightly sealed and is very cold to the touch

Check the ""sell-by"" date — do not purchase food with an expired ""sell-by"" date

Storing

Make sure the freezer temperature is set at or below 0°F

Defrost frozen meats in the refrigerator or in the microwave — never on the counter

Defrosted meat should be eaten within 3-4 days

Preparing

Wash hands thoroughly for 20 seconds before handling food

Use two separate cutting boards to avoid cross-contamination, one for raw foods and the other for ready-to-eat foods

Refer to the preparation instructions on the package for proper cooking and storage procedures

Use a food thermometer to cook to proper temperature

Don't leave frozen meat un-refrigerated for more than two hours",home-food-safety
Fares of Faith: Krishna Janmashtami,https://www.eatright.org/food/cultural-cuisines-and-traditions/holidays-and-celebrations/krishna-janmashtami,"Contributors:Traci PedersenPublished:July 25, 2023
Published:July 25, 2023","Krishna Janmashtami, or simplyJanmashtami, is the two-day birthday celebration of the Hindu deity Lord Krishna. The holiday is celebrated throughout India and in Hindu homes around the world, but the spirit of devotion is especially prevalent in the ancient cities Mathura and Vrindavan, where Krishna spent his childhood.

Hindus believe Lord Krishna is the personification of love, joy and knowledge. He is considered the most personable Hindu deity, always ready to answer the prayers of his followers. A brave hero, wise teacher and loving friend to all, Krishna has had an overwhelming influence on Indian philosophy and culture.

The legend ofJanmashtamibegins about 5,000 years ago, when Mother Earth and her children were grieving terribly under the dark rule of the demon kings. The outlook was so bleak that Lord Vishnu, the Godhead of the Hindu trinity, chose to be reborn as baby Krishna to bring love and peace to the world and end the rule of evil kings.

Celebration and Fasting

Janmashtamifestivities last two full days, which generally fall in August or September. Devotees spend the first day of festivities fasting, singing and preparing Krishna’s favorite foods — mostly sweet, milk-based dishes — to offer their Lord at midnight. Beautifully decorated temples and homes exude an aroma of rich desserts and flavorful spices.

Many devotees fast on the first day ofJanmashtami. In Hinduism, fasting is considered a sacrificial gift that allows individuals to grow closer to God and repent for sins. In a phalahar fast, worshippers are allowed to consume fruit, water and milk but must refrain from cereal and salt. The most devoted followers keep anirjalfast, which excludes food and water. During the fast, devotees spend the day preparing Krishna’s favorite dishes, singing songs and chanting mantras. At midnight, the carefully prepared food offering, orprasad, is given to Krishna. Fasting is broken by eating theprasad.

Temples at Midnight

Festivities peak at midnight, the time of Krishna’s birth. Devotees flock to temples adorned with sparkling lights, hanging flowers and colorful decorations. Holy mantras are chanted, and a conch is blown to symbolize the destruction of evil. A representation Krishna, such as a small statue or figurine, is bathed in a mixture of honey, ghee, sugar and curds, then placed in a cradle. It is believed that those who visit the temple to rock the cradle will have a wish granted. The sweet aroma of Krishna’s favorite dishes fills the air as they are placed in front of the cradle. Some Krishna temples prepare as many as 108 dishes, a sacred number in Hinduism.

Breaking the Butter Pot

Dairy products, such as milk, butter and curds, are important staples of Indian cuisine. This is reflected in one of the holiday’s most beloved traditions,Dahi Handi. This ritual, carried out on the second day of festivities, is a celebration of Krishna’s playful and mischievous side. In a daring public display of acrobatic strength and balance,Dahi Handiparticipants, orgovindas, build a human pyramid to reach a dangling butter pot suspended out of reach. The lastgovindaclimbs to the top and strikes the pot until it cracks, spilling curds onto those below.

According to legend, the children of Vrindavan village were deprived of milk products because every drop had to be given to Mathura, the home of evil King Kansa. In response, Krishna and his friends made a human pyramid to reach the pots hanging from ceilings and distribute the prized butter to local children.

Foods ofJanmashtami

Food prepared as an offering for Krishna is made with only the finest ingredients in highly sanitary conditions. Because Krishna was known for his sweet tooth and love of milk products, most dishes prepared forJanmashtamiare desserts with a milk or yogurt base. Meals are typically vegetarian, as Hindus strongly promote nonviolence and believe all animals have souls. As providers of precious milk, cows are considered sacred in Hinduism, so there are no holiday beef dishes.

This article originally appeared inFood & Nutrition Magazine®,published by the Academy of Nutrition and Dietetics.",cultural-cuisines-and-traditions
9 Candy-Free Ideas for Valentine's Day,https://www.eatright.org/food/cultural-cuisines-and-traditions/holidays-and-celebrations/9-candy-free-ideas-for-valentines-day,"Contributors:Brandi Thompson, RD, LDNReviewers:Academy Staff RDNsPublished:February 11, 2022Reviewed:January 16, 2024
Reviewers:Academy Staff RDNsPublished:February 11, 2022Reviewed:January 16, 2024
Published:February 11, 2022Reviewed:January 16, 2024
Reviewed:January 16, 2024","Looking for Valentine's Day treats can be a heart-stopping experience. Think outside the heart-shaped box and use the holiday as a time to learn about healthy snacking.

These Valentine's Day party treats feature choices offering nutrients from low-fat dairy, whole grains, fruits and vegetables, many of which can be assembled in the classroom.

Send a MessageUsing a felt-tipped marker, write fun messages on the peels of clementines (""Hi, Cutie!"") or bananas (""I'm bananas for you!"").

Strawberries on Cloud NineStrawberries, a naturally healthy treat, provide dietary fiber and are rich in vitamin C. Serve them with a small dollop of whipped cream or yogurt.

Red SalsaLet kids make their own snack plates with cut up vegetables, whole-grain pita chips or crackers and low-fat cheese cubes to dip into tomato salsa.

Banana Split Love BoatsSplit a peeled banana down the middle and top with low-fat vanilla Greek yogurt and sliced heart-shaped fruit.

Pink MilkBlend strawberries and low-fat milk for a delicious protein-packed, naturally sweet drink.

Heart-Shaped SandwichesUse a cookie cutter to turn a nut butter and jelly sandwich on whole-wheat bread into a heart-shaped Valentine.

Red Fruit and Yogurt DipCelebrate with fruits that are red, the unofficial color of Valentine's Day: apples, blood oranges, grape tomatoes, red grapes and red peppers. For a sweet dip, mix cinnamon and low-fat vanilla yogurt.

Cupid's SmoothieBefore the party starts, blend cranberry or pomegranate juice with low-fat milk, bananas and canned pineapple to make a naturally sweet and pink colored beverage.

XOXO Trail MixMix together O-shaped cereal (the Os) and pretzel sticks (the Xs) along with bright red dried cranberries and dried strawberries.",cultural-cuisines-and-traditions
